Postcode,Latitude,Longitude
IG11 8TB,51.541705,0.084464493
RM10 7QU,51.5586,0.15034554
RM10 8PU,51.549776,0.14853021
IG11 8PU,51.543211,0.075577319
RM9,51.544049,0.12227137
RM9 6SA,51.528679,0.15044908
RM10 7XJ,51.546518,0.16431429
RM9 5AY,51.553946,0.14666392
RM9 4AT,51.540112,0.11665149
IG11 7LX,51.534749,0.078652918
IG11 9TU,51.539194,0.09314638
IG11 9U,51.53998,0.091971058
IG11 0NS,51.529444,0.10028279
RM7 0UB,51.562464,0.17294929
IG11 8JD,51.538691,0.07593402
RM6 6SB,51.576859,0.14129208
RM8 2AU,51.553332,0.11764022
RM10 9BJ,51.531497,0.15908874
IG11 9XJ,51.539332,0.084399319
RM9 6LT,51.537384,0.14703804
RM10 9TS,51.537723,0.16137342
RM10 7UL,51.552112,0.16573384
IG11 7DH,51.533627,0.08563822
RM10 7YD,51.551793,0.15523183
RM9 5SD,51.540982,0.12870483
RM9,51.544049,0.12227137
RM10 9JR,51.537799,0.15187398
RM10 9TU,51.537827,0.16258964
IG11 9SS,51.534664,0.097048027
IG11,51.525635,0.079910083
IG11 9TT,51.538765,0.09299691
RM9 5SL,51.551797,0.1318927
IG11 9AP,51.547666,0.10517489
RM10 9EA,51.528853,0.16059279
RM10 9YQ,51.534379,0.16911676
IG11 7LX,51.534749,0.078652918
IG11,51.525635,0.079910083
RM10 7ED,51.553706,0.15930366
RM9 4NH,51.544816,0.12510504
IG11 7LU,51.536016,0.078710644
IG11,51.525635,0.079910083
RM8 1LS,51.564434,0.14950977
IG11 7NZ,51.529578,0.079138262
RM9 5RR,51.541694,0.14199146
RM9 6LX,51.53716,0.14405693
RM10 8AP,51.542636,0.16368297
IG11 0LR,51.526434,0.11166318
RM8 2DP,51.55455,0.1149415
RM9 4ND,51.541349,0.11391112
RM10 8YL,51.542702,0.16593595
RM10 9ND,51.527432,0.16108778
RM6 5HX,51.586563,0.12992541
RM9,51.544049,0.12227137
RM7 0YT,51.557476,0.1800835
RM7 0TX,51.561886,0.17404712
RM6 6RH,51.573708,0.14099965
IG11 0BD,51.526831,0.087490155
RM10 7UD,51.553192,0.16666508
IG11 0EY,51.529058,0.093200447
RM9,51.544049,0.12227137
IG11 9TF,51.53987,0.085519874
RM8 1LP,51.563529,0.1498278
RM8,51.561301,0.14724113
IG11,51.525635,0.079910083
RM6 6AS,51.572626,0.14266611
IG11,51.525635,0.079910083
RM9,51.544049,0.12227137
RM7 0SB,51.561408,0.1804303
RM6 6DD,51.57366,0.14415791
RM8 2JR,51.545368,0.11297242
RM8,51.561301,0.14724113
IG11 7YL,51.535747,0.083745232
RM8 2UA,51.553674,0.11710796
IG11,51.525635,0.079910083
RM9 6XN,51.533103,0.13671453
RM6 5LL,51.584635,0.13702397
RM8 2AQ,51.551417,0.13002859
RM8 1BT,51.56097,0.14125246
RM6 5LA,51.583452,0.13973996
IG11 8RF,51.542696,0.079822689
RM10 7XJ,51.546518,0.16431429
RM10 7XJ,51.546518,0.16431429
RM9 6XS,51.534257,0.13509593
RM6 5LH,51.584362,0.13868563
RM6 5QL,51.590018,0.14068372
RM9 5UU,51.552208,0.14633683
RM6 5LL,51.584635,0.13702397
RM10 9TJ,51.537857,0.15947627
IG11 9XA,51.541743,0.093926743
RM10 9AB,51.53117,0.15536776
RM9 6ES,51.538854,0.13695507
IG11 7PS,51.536742,0.079349364
RM10 8JH,51.544157,0.15577956
RM10 9BL,51.529471,0.16216478
RM8 3BT,51.557816,0.14652874
RM10 8TD,51.540993,0.15767784
IG11 0HQ,51.525372,0.1127385
RM9 6LX,51.53716,0.14405693
RM7 0NT,51.556718,0.17535868
RM6 5NB,51.586909,0.13314637
IG11 8JH,51.53938,0.073585958
RM10 7AS,51.555468,0.16566244
IG11 8JX,51.542242,0.071423029
RM10 9HP,51.536577,0.15085018
RM6 6BS,51.573622,0.14525293
RM10 8PB,51.543589,0.14999824
RM6 6JH,51.570616,0.13548612
RM9 6BL,51.53517,0.12836153
RM8,51.561301,0.14724113
RM9 6ED,51.536673,0.13177707
RM6 4BE,51.570084,0.13061252
IG11 9TR,51.539714,0.089723641
IG11 7NB,51.536221,0.079801486
RM10 8QJ,51.550204,0.14774262
IG11 9RS,51.535352,0.094311082
RM10 9QS,51.540053,0.14958642
IG11 9XS,51.538753,0.090660217
IG11 9SB,51.533575,0.10061712
RM9 4ND,51.541349,0.11391112
RM10 7HS,51.553748,0.15747365
RM6 5QH,51.588936,0.13983885
RM9 6LT,51.537384,0.14703804
RM10 8HG,51.537769,0.16911935
IG11 7BG,51.530661,0.073867359
RM10 8AJ,51.542998,0.16401746
RM10 8AJ,51.542998,0.16401746
RM9 5NU,51.544368,0.14475636
RM10 7XX,51.551476,0.15094713
RM8 3AP,51.555765,0.13522314
IG11 9RS,51.535352,0.094311082
RM9 4HU,51.535778,0.11965154
IG11 8RD,51.542181,0.082986393
IG11 0BL,51.527261,0.091128461
IG11,51.525635,0.079910083
RM8 1QP,51.562375,0.13965923
RM9 5AQ,51.542466,0.14746476
RM9 5AG,51.545098,0.14764636
RM10 8ES,51.547019,0.16201591
RM8 1LS,51.564434,0.14950977
RM10 9HX,51.534797,0.1513142
RM9 4SJ,51.538529,0.12515823
RM10 7XT,51.55137,0.16210682
RM8 3HT,51.558583,0.1340423
RM6 6SB,51.576859,0.14129208
RM10 7EU,51.556899,0.15874804
RM8 2JG,51.561545,0.1224944
RM10 7JR,51.554526,0.15184117
RM10 8AN,51.546083,0.16400519
RM8 1NL,51.564416,0.14707045
RM8 2RU,51.551643,0.12053327
IG11 9PH,51.539417,0.098823943
IG11 9NU,51.537175,0.11097788
RM6 6XR,51.57691,0.13654608
RM10 9YB,51.536775,0.17034106
RM9 4PX,51.540849,0.11520029
IG11 7QE,51.537219,0.083884583
RM8 1RY,51.566389,0.13306588
RM10 8AJ,51.542998,0.16401746
RM6 6BU,51.574271,0.14267135
RM8 1YT,51.562029,0.12306521
IG11 7BT,51.532147,0.075751642
IG11 9QQ,51.536336,0.10110475
RM7 0WZ,51.560195,0.17797728
RM6 5ES,51.582853,0.13165729
RM6 5ES,51.582853,0.13165729
RM6 6PP,51.571174,0.13352078
IG11 0JP,51.525346,0.10519753
RM9 4BJ,51.542245,0.12204324
RM10 7XD,51.546666,0.16507132
RM10 8BP,51.541175,0.17362219
RM8 1BX,51.561286,0.13376487
RM10 8AJ,51.542998,0.16401746
RM10 8LH,51.549319,0.15380232
IG11 9XJ,51.539332,0.084399319
RM10 7YA,51.551579,0.15364943
RM7 0NT,51.556718,0.17535868
IG11 9QS,51.538133,0.10371107
RM10 7XL,51.547404,0.16207746
IG11 0TT,51.531221,0.12548108
RM6 6XX,51.577309,0.13535246
RM6 6BJ,51.574045,0.14621092
RM6 5LH,51.584362,0.13868563
IG11 8SL,51.542341,0.086094387
RM10 7RP,51.558761,0.14794382
RM10 8AX,51.539815,0.16982235
RM10 8EL,51.545152,0.16184085
RM10 7YU,51.551484,0.15883782
IG11 0RH,51.531248,0.12246895
RM10 7JR,51.554526,0.15184117
RM10 8AH,51.542955,0.16537109
RM8 2DB,51.552201,0.1125534
RM9 5JP,51.548571,0.1396461
RM8 1AJ,51.563824,0.14598928
RM10 8JJ,51.545342,0.15440774
RM6 6PB,51.571532,0.13356645
IG11 8EB,51.539077,0.080537349
RM10 9AT,51.529546,0.15761231
IG11 9TF,51.53987,0.085519874
IG11 8AL,51.538233,0.077903209
RM9 6QD,51.517857,0.14573034
RM9 4BL,51.542738,0.11915295
RM6 5ND,51.587064,0.13152239
IG11 7QN,51.536251,0.087733711
RM9 4PJ,51.540899,0.11789939
RM10 8JX,51.545218,0.15138751
RM10 7NX,51.555494,0.15400746
RM6 6DS,51.570992,0.14494153
RM6 5EP,51.582392,0.13674551
IG11 8TG,51.541356,0.083857271
IG11,51.525635,0.079910083
IG11 9QA,51.537595,0.099086234
IG11 0JS,51.529353,0.095347754
IG11 0NW,51.530024,0.097036625
IG11 0LH,51.527536,0.10893166
IG11 0NS,51.529444,0.10028279
IG11 0LA,51.526773,0.10033282
RM9 4RB,51.534919,0.11443506
IG11 7NP,51.537187,0.081100077
RM10 7AP,51.55514,0.16635375
RM10 7UB,51.55216,0.16214432
RM6 6PU,51.571048,0.13052771
IG11 9NW,51.538229,0.10786859
RM9 4QS,51.534975,0.11078958
RM8 1TT,51.563732,0.13079169
IG11 8QX,51.543709,0.08152742
RM8 1RW,51.56654,0.1371132
RM8 1XH,51.565489,0.12715112
RM10 7YU,51.551484,0.15883782
RM10,51.554182,0.16809698
IG11 8LQ,51.539575,0.070667426
IG11 7UQ,51.532219,0.091442212
RM6 6JB,51.570934,0.13578965
RM10 7BG,51.551676,0.15717366
RM9 5JT,51.549144,0.13784113
IG11 9XN,51.538806,0.085644305
IG11 9NR,51.538621,0.11056893
RM10 8JX,51.545218,0.15138751
IG11 0BH,51.528601,0.091103378
RM6 6DD,51.57366,0.14415791
RM8 3ET,51.556337,0.13937582
IG11,51.525635,0.079910083
IG11 9HZ,51.541759,0.10059021
RM9 5QT,51.548763,0.13257301
RM10 7JR,51.554526,0.15184117
IG11 7NY,51.535828,0.082220454
IG11 8NL,51.539203,0.080009543
IG11,51.525635,0.079910083
RM9,51.544049,0.12227137
RM8,51.561301,0.14724113
RM10 7RP,51.558761,0.14794382
RM9 4DB,51.538628,0.11717387
RM8,51.561301,0.14724113
IG11 9TY,51.538252,0.095554611
IG11 7BT,51.532147,0.075751642
RM9 6XT,51.533968,0.13365493
RM10 7HT,51.552574,0.15629292
RM10 9LS,51.529919,0.15395338
RM9 6RJ,51.523005,0.135175
RM10 9BP,51.529653,0.16251945
RM10 7XD,51.546666,0.16507132
RM8 2JG,51.561545,0.1224944
RM6 6XP,51.576161,0.13669857
IG11 7BT,51.532147,0.075751642
RM10 9JS,51.538641,0.15253379
RM8 3AB,51.555041,0.14287818
RM9 4HU,51.535778,0.11965154
IG11 8QU,51.542702,0.083543778
RM9,51.544049,0.12227137
IG11 8LA,51.541219,0.074361772
RM9,51.544049,0.12227137
RM8 3AU,51.556574,0.13276529
IG11 9YD,51.540956,0.097697835
RM10 8AJ,51.542998,0.16401746
RM10 7UD,51.553192,0.16666508
RM9 4HX,51.535057,0.11971899
RM8 1NH,51.566372,0.14678747
IG11 9UQ,51.541855,0.088163259
RM10 7QU,51.5586,0.15034554
RM8,51.561301,0.14724113
IG11 9NR,51.538621,0.11056893
RM9,51.544049,0.12227137
RM8 3HD,51.559971,0.14671678
IG11,51.525635,0.079910083
RM8,51.561301,0.14724113
IG11,51.525635,0.079910083
RM9 5NU,51.544368,0.14475636
IG11,51.525635,0.079910083
RM10 7UB,51.55216,0.16214432
RM6 6BJ,51.574045,0.14621092
RM10 8AJ,51.542998,0.16401746
RM10 8PU,51.549776,0.14853021
RM10 7QT,51.558506,0.152534
IG11,51.525635,0.079910083
RM5 2BH,51.595505,0.14746803
IG11 0HQ,51.525372,0.1127385
RM10 9UH,51.539958,0.16160911
RM10 7YA,51.551579,0.15364943
RM10 9TU,51.537827,0.16258964
RM8 2ET,51.549592,0.12156296
IG11 0DW,51.520404,0.096421653
RM9 6AT,51.535366,0.13589767
IG11 9BB,51.544991,0.10790708
IG11,51.525635,0.079910083
RM10 8AU,51.539985,0.16746535
RM10,51.554182,0.16809698
RM8 3HD,51.559971,0.14671678
IG11 8PU,51.543211,0.075577319
RM8 2NT,51.551543,0.12954402
RM7 0XU,51.560314,0.17447707
RM8 2UT,51.557321,0.12085507
RM8 2ES,51.549247,0.12024876
RM6 5QA,51.589195,0.13749783
IG11 0RH,51.531248,0.12246895
RM8 1JX,51.562542,0.15607195
RM10 7EJ,51.555265,0.1600988
RM6,51.570386,0.12935673
RM8 1ES,51.567803,0.1423383
RM10 7ES,51.559507,0.15677961
IG11 0LY,51.527439,0.10781707
IG11 0RJ,51.5312,0.12067883
IG11 7RP,51.535217,0.091248001
RM8 1BP,51.560845,0.14512764
IG11 9PN,51.535778,0.094071128
IG11,51.525635,0.079910083
IG11 9TN,51.539647,0.088956255
RM8 1JT,51.56272,0.15129017
IG11 8HG,51.538938,0.078742854
RM9,51.544049,0.12227137
IG11 7PB,51.53555,0.082654795
RM6,51.570386,0.12935673
IG11,51.525635,0.079910083
RM10,51.554182,0.16809698
RM10 7YA,51.551579,0.15364943
RM6,51.570386,0.12935673
RM9 4HX,51.535057,0.11971899
IG11,51.525635,0.079910083
IG11 7BT,51.532147,0.075751642
RM9,51.544049,0.12227137
RM9 4BE,51.541733,0.12105314
RM8 2PB,51.559249,0.1250854
IG11 8JD,51.538691,0.07593402
RM8,51.561301,0.14724113
IG11 9BB,51.544991,0.10790708
IG11 9AJ,51.547001,0.10362977
RM6 6DT,51.57066,0.1444064
IG11 9LX,51.538871,0.098669045
RM10 7HX,51.559166,0.15432526
RM10 8AX,51.539815,0.16982235
RM7 0TL,51.564006,0.17615381
IG11,51.525635,0.079910083
IG11 9NY,51.536846,0.10729996
RM9,51.544049,0.12227137
RM6 5PR,51.587352,0.13051092
RM9 6QJ,51.519004,0.14399686
RM10,51.554182,0.16809698
IG11 8PD,51.539922,0.081037379
RM10 8JX,51.545218,0.15138751
IG11 9LR,51.542756,0.095617336
IG11 8PR,51.54266,0.07726841
RM8,51.561301,0.14724113
IG11,51.525635,0.079910083
RM9 6NJ,51.534962,0.14422763
RM8 1BP,51.560845,0.14512764
RM6 6RB,51.582349,0.14205538
RM9,51.544049,0.12227137
IG11 0HZ,51.524612,0.10448613
RM10 9QH,51.534954,0.15398924
RM8 3AD,51.555923,0.14384289
RM9 6NA,51.534999,0.14272972
RM6 6BT,51.574692,0.14427864
RM7 0XT,51.558804,0.18021917
IG11 0ES,51.52707,0.094767182
IG11 7XF,51.533756,0.089984246
IG11,51.525635,0.079910083
RM9 4UN,51.533345,0.12638748
RM5 2BH,51.595505,0.14746803
RM8 2ED,51.552566,0.11375317
RM6 6JB,51.570934,0.13578965
IG11 7UH,51.533556,0.089614601
RM9,51.544049,0.12227137
RM9,51.544049,0.12227137
RM10,51.554182,0.16809698
RM10 8AT,51.541243,0.16801545
RM9 5RH,51.542863,0.14493076
IG11,51.525635,0.079910083
RM6 6LS,51.571924,0.14120442
IG11 7,51.533139,0.080684717
IG11 7UL,51.533225,0.089527339
IG11 8NR,51.538921,0.079679436
IG11 7QW,51.537129,0.087918093
RM9,51.544049,0.12227137
IG11,51.525635,0.079910083
IG11 0HZ,51.524612,0.10448613
IG11 7BZ,51.533409,0.074554627
RM10 7XJ,51.546518,0.16431429
RM9 6XW,51.532658,0.1305513
RM6,51.570386,0.12935673
RM6 6PJ,51.572106,0.13663829
IG11 8PD,51.539922,0.081037379
IG11 7JW,51.531212,0.07830435
RM8 1BB,51.56383,0.14665327
RM10 7HT,51.552574,0.15629292
RM10 7XX,51.551476,0.15094713
RM6 6PJ,51.572106,0.13663829
RM9 4LJ,51.539586,0.1268803
IG11,51.525635,0.079910083
IG11 8PD,51.539922,0.081037379
IG11 8RW,51.540522,0.08319908
IG11 9RT,51.535026,0.095392033
IG11,51.525635,0.079910083
RM8 3NS,51.558022,0.14707223
RM10 7UR,51.551475,0.16369855
IG11 0AT,51.532516,0.10453346
IG11 0LR,51.526434,0.11166318
IG11 8QX,51.543709,0.08152742
IG11,51.525635,0.079910083
RM10,51.554182,0.16809698
IG11 7PE,51.537449,0.080059327
RM9 6UQ,51.532562,0.13578084
IG11 8NR,51.538921,0.079679436
RM9,51.544049,0.12227137
RM8 1BB,51.56383,0.14665327
RM6 6JT,51.569165,0.13124774
IG11 8PD,51.539922,0.081037379
RM9,51.544049,0.12227137
RM8 3XP,51.554317,0.12585081
RM10 9TR,51.538003,0.16080988
RM9 5AY,51.553946,0.14666392
RM10 9JA,51.535175,0.15127436
IG11 7PR,51.534073,0.085846053
RM10 7LH,51.554903,0.1494066
RM8 1AL,51.561798,0.14561977
IG11 7NZ,51.529578,0.079138262
IG11,51.525635,0.079910083
RM8 2UJ,51.554009,0.11651762
IG11,51.525635,0.079910083
IG11,51.525635,0.079910083
IG11 9EB,51.549061,0.10711439
RM9 4TP,51.539783,0.12791337
IG11 7PG,51.536558,0.081071384
IG11 7BZ,51.533409,0.074554627
RM8 1BJ,51.56254,0.1473428
IG11 9RS,51.535352,0.094311082
RM9 4HB,51.539321,0.12662278
IG11,51.525635,0.079910083
IG11 8NR,51.538921,0.079679436
IG11,51.525635,0.079910083
RM8,51.561301,0.14724113
RM8,51.561301,0.14724113
IG11 7NF,51.537578,0.079848936
IG11 7NF,51.537578,0.079848936
IG11 0HZ,51.524612,0.10448613
IG11 9NT,51.5374,0.10948858
RM6 6AS,51.572626,0.14266611
RM10 8TT,51.540061,0.1594364
RM9,51.544049,0.12227137
IG11 8PD,51.539922,0.081037379
IG11 9NW,51.538229,0.10786859
IG11,51.525635,0.079910083
RM6 6PR,51.570856,0.13171647
RM10 9RJ,51.539983,0.15191934
RM10 9UH,51.539958,0.16160911
IG11 9ES,51.545772,0.10244811
RM8 3HH,51.560203,0.14630933
IG11,51.525635,0.079910083
RM6 4BE,51.570084,0.13061252
RM8 3UH,51.558867,0.12929469
IG11 9UY,51.542756,0.090584114
RM8,51.561301,0.14724113
RM10 8PS,51.549708,0.15663338
RM6,51.570386,0.12935673
RM8 1YX,51.562759,0.11999715
RM10,51.554182,0.16809698
RM8 3UL,51.558959,0.13069838
RM8 1QH,51.567828,0.14194987
RM8 3ST,51.554487,0.12535388
IG11,51.525635,0.079910083
IG11 8RF,51.542696,0.079822689
IG11 7UQ,51.532219,0.091442212
RM10 7BN,51.561283,0.15556514
RM10 8EH,51.545247,0.16056175
RM10 9TB,51.539022,0.16067067
RM9 5JJ,51.548282,0.1367334
RM9 6RS,51.529835,0.13692193
IG11,51.525635,0.079910083
IG11 8HG,51.538938,0.078742854
RM9 5NB,51.550772,0.13184481
RM8 1DJ,51.561446,0.14076987
RM6 6XT,51.577369,0.13405629
IG11 0DA,51.523831,0.095843881
RM10 8EH,51.545247,0.16056175
RM8 3PP,51.55992,0.14064047
RM8 2BU,51.551373,0.12105441
IG11 0HN,51.525621,0.10189444
RM9,51.544049,0.12227137
IG11,51.525635,0.079910083
RM10 7JB,51.560039,0.15429438
RM9 4NH,51.544816,0.12510504
IG11 0QG,51.528405,0.10561258
RM9 5UU,51.552208,0.14633683
IG11 8ER,51.536771,0.077721231
RM8 2JH,51.548888,0.11421734
RM10 8XU,51.545084,0.16356836
RM10 8EB,51.543632,0.15742773
RM6 6JD,51.570239,0.1369692
RM8 1XU,51.562982,0.12057025
RM8 3HH,51.560203,0.14630933
RM8,51.561301,0.14724113
IG11 0AT,51.532516,0.10453346
IG11 9UG,51.541691,0.0877952
RM9 4ST,51.538615,0.12090817
IG11 7AZ,51.534243,0.073698542
IG11 9TA,51.540375,0.083898983
IG11 8SF,51.541343,0.084563345
RM8 1BB,51.56383,0.14665327
IG11,51.525635,0.079910083
IG11 7BZ,51.533409,0.074554627
RM8 1YX,51.562759,0.11999715
IG11 9JP,51.539803,0.10135096
RM10 9QL,51.534035,0.1555896
RM10 8UJ,51.542933,0.17337427
RM10 8UU,51.542049,0.16815475
RM7 0TD,51.561938,0.1751317
RM9 4DJ,51.535431,0.11790511
IG11 8DL,51.53798,0.080025866
RM8 2ND,51.547369,0.11720463
RM6 5EP,51.582392,0.13674551
RM10 9AJ,51.533763,0.15861921
RM8 1DW,51.561713,0.15324811
RM10 7AF,51.560555,0.15163525
RM10 7HZ,51.560143,0.15349139
RM10 9BX,51.538755,0.15317369
RM8 1YT,51.562029,0.12306521
RM10 7FH,51.560885,0.14885185
RM10 7DA,51.553947,0.16182513
RM10 9RR,51.540066,0.15673988
IG11 8PY,51.543919,0.075753729
RM7 0UH,51.5627,0.169945
RM8 1XU,51.562982,0.12057025
RM10 7XJ,51.546518,0.16431429
RM7 0YH,51.557815,0.17972464
IG11 8SF,51.541343,0.084563345
RM10 8BL,51.540505,0.17289803
RM10 9PT,51.53364,0.15310528
RM6 6PR,51.570856,0.13171647
IG11 8QZ,51.543171,0.080421226
IG11 7LS,51.53587,0.077319699
RM9,51.544049,0.12227137
RM8 3DD,51.557756,0.14092839
IG11 8PD,51.539922,0.081037379
RM10 8BB,51.539709,0.17117288
RM10 7YH,51.553058,0.15488774
IG11 7LN,51.529418,0.083110205
RM9 6UX,51.532058,0.14616741
RM10 7UB,51.55216,0.16214432
IG11 9TX,51.538928,0.094965578
IG11 8UF,51.546465,0.091864717
RM6 5QP,51.589401,0.13900893
IG11 7QD,51.536011,0.086583559
RM9,51.544049,0.12227137
RM9 6PS,51.530696,0.14784796
RM10 7TH,51.549223,0.16439942
IG11 9TG,51.538848,0.086814298
IG11 8ET,51.53647,0.076928866
RM6 6BJ,51.574045,0.14621092
IG11 0BH,51.528601,0.091103378
RM10,51.554182,0.16809698
RM10 8EH,51.545247,0.16056175
RM10 9EU,51.532914,0.15540688
RM10 8EL,51.545152,0.16184085
RM9 4AS,51.539995,0.1186794
RM7 0SP,51.563382,0.17970232
RM6 4BS,51.569793,0.13130599
RM9 4QS,51.534975,0.11078958
RM10 9EL,51.532425,0.15849824
RM10 8BP,51.541175,0.17362219
RM8 1AH,51.562317,0.14675516
RM8 3UH,51.558867,0.12929469
RM9 4TS,51.537375,0.12780105
RM6,51.570386,0.12935673
IG11,51.525635,0.079910083
RM8 1BX,51.561286,0.13376487
RM8 3AT,51.555678,0.13161256
IG11,51.525635,0.079910083
RM7 0TX,51.561886,0.17404712
RM7 0SL,51.563471,0.18025484
RM8 1JS,51.567879,0.14651214
RM8 2NN,51.548518,0.1187725
RM8 3YB,51.557496,0.12754274
IG11 9DZ,51.548959,0.10428261
IG11 0D,51.523831,0.095843881
NW9 5ZG,51.594153,-0.23781164
N12 9TP,51.617337,-0.1720851
NW4 4EX,51.585333,-0.23427
EN5 2AQ,51.640352,-0.22208938
N2 0LZ,51.590276,-0.17188672
NW9 5PA,51.598443,-0.24385429
NW7 2RS,51.613929,-0.2254186
NW4 4DP,51.589726,-0.22268073
N3 1LD,51.604974,-0.19015638
N10 2LP,51.600036,-0.14626904
N2 9PN,51.589096,-0.16369114
NW2 2AU,51.565061,-0.19977825
N12 9TE,51.616682,-0.17445149
N10 2HR,51.606127,-0.14648307
N3 1XT,51.603855,-0.19044639
N2 9PY,51.587231,-0.16173096
EN5 2LY,51.644176,-0.20919191
NW7 3SA,51.615759,-0.25871363
NW2 1QA,51.564703,-0.21283547
NW11 8RA,51.571309,-0.2031823
EN5 5TY,51.654,-0.20068013
NW7 4LT,51.627208,-0.2509791
NW4 1RL,51.603864,-0.22640312
N20 0PD,51.628366,-0.17523949
N20 0RA,51.627066,-0.174916
NW11 9LY,51.578995,-0.20774298
N12 9LA,51.615548,-0.17153587
N3 2HG,51.600909,-0.19069345
N12 0RG,51.61215,-0.17447443
N12 9RW,51.62056,-0.1763183
HA8 8QL,51.629119,-0.28051064
NW4 3NS,51.582417,-0.22641557
N12 8PT,51.61773,-0.17709621
N3 1LP,51.606048,-0.18745649
NW9 7QP,51.57686,-0.24012584
N20 8LB,51.632858,-0.19413305
N12 9LG,51.615214,-0.16798156
NW11 0DA,51.581656,-0.20122978
NW4 3UT,51.582472,-0.22821768
NW11 0QN,51.582654,-0.20002124
NW11 7NT,51.574152,-0.19563813
EN5 5UR,51.654153,-0.20183062
N12 9BT,51.615571,-0.17586828
NW11 7PE,51.573911,-0.19632594
NW7 3JY,51.619733,-0.25441566
N2 0BJ,51.577277,-0.16982501
HA8 7BJ,51.612092,-0.27715337
NW11 7RR,51.571122,-0.19507989
HA8 8QX,51.63476,-0.28443007
N12 9QD,51.614079,-0.17592809
N2 8DT,51.594259,-0.17065844
NW11 8EP,51.572596,-0.19971148
N11 3ET,51.615653,-0.14953278
NW9 6EA,51.591307,-0.24649711
NW2 1DY,51.567862,-0.21181699
N12 7NL,51.613695,-0.17839894
N20 9DX,51.633895,-0.17280674
NW7 3AG,51.627207,-0.25154259
N11 3EX,51.615449,-0.15024888
NW4 4NT,51.582905,-0.23429194
NW4 1LJ,51.60036,-0.20940001
NW7 2PH,51.609493,-0.22343969
NW4 1TR,51.592948,-0.21637586
NW11 8ES,51.571813,-0.19968469
NW11 7TH,51.581218,-0.19841816
NW2 1DN,51.566772,-0.21933392
N20 8AX,51.63723,-0.20014449
NW4 1QT,51.592819,-0.22033666
NW9 7BP,51.575852,-0.23827422
HA8 9GF,51.621577,-0.26360484
NW7 3SE,51.616483,-0.25781925
N3 1XY,51.604364,-0.1896752
NW3 7JG,51.570151,-0.17591207
N12 9ET,51.612141,-0.1727416
HA8 7PG,51.614369,-0.28096698
EN5 5JY,51.651688,-0.19416537
NW4 4XG,51.600453,-0.23280274
HA8 8LW,51.617113,-0.2767177
NW2 2NH,51.564506,-0.20287336
NW11 9RG,51.574503,-0.20562513
HA8 0LW,51.600825,-0.26673576
NW7 2BE,51.609608,-0.23400705
N2 0BN,51.580499,-0.16826667
